Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d
1740615668.555138,25.096796875,126035,31.835584880438766,0,0,0
1740615669.567161,25.0971875,125845,31.841220733250506,0,0,0
1740615670.578996,25.0962109375,126320,31.818730940544118,0,0,0
1740615671.5907676,25.0962109375,126511,31.80753091635652,0,0,0
1740615672.6026497,25.096796875,126225,31.79638398633312,0,0,1
1740615673.614735,25.099140625,126798,31.785394537720162,0,0,1
1740615674.6265907,25.100703125,125656,31.791132881853272,0,0,1
1740615675.6383748,25.1003125,127086,31.796697375240225,0,0,1
1740615676.6502051,25.1012890625,127086,31.785586000174135,0,0,1
1740615677.6620047,25.101875,127376,31.76884217020172,0,0,2
1740615678.6730945,25.1024609375,127473,31.763296106909056,0,0,2
1740615679.68491,25.1024609375,127668,31.75210023800615,0,0,2
1740615680.6956067,25.1034375,127863,31.740992161447767,0,0,2
1740615681.7062647,25.105390625,127960,31.71318209561774,0,0,1
1740615682.7168705,25.1075390625,127183,31.70777703933891,0,0,1
1740615683.7275276,25.108515625,128451,31.707863895723577,0,0,1
1740615684.7381742,25.1096875,127668,31.702372146931786,0,0,1
1740615685.749995,25.1118359375,128945,31.69696741839317,0,0,1
1740615686.7617648,25.113203125,128747,31.68030285973317,0,0,1
1740615687.7736292,25.114765625,128945,31.669252023315675,0,0,1
1740615688.787149,25.1149609375,129144,31.669269377902896,0,0,1
1740615689.799281,25.1165234375,130249,31.663813660346776,0,0,1
1740615690.8110797,25.1184765625,129444,31.641611020438727,0,0,0
1740615691.8227935,25.122578125,129744,31.647568990253482,0,0,0
1740615692.8346765,25.1243359375,129544,31.630944368880954,0,0,0
1740615693.8465703,25.1243359375,130452,31.625351222677004,0,0,0
1740615694.8584435,25.1243359375,129344,31.636537731020816,0,0,0
